,Device,Kernel,Invocations,Metric Name,Metric Description,Min,Max,Avg
0,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,inst_per_warp,Instructions per warp,449.000000,632.000000,570.692935
1,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,branch_efficiency,Branch Efficiency,100.000000%,100.000000%,100.000000%
2,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,warp_execution_efficiency,Warp Execution Efficiency,76.764245%,94.956487%,87.982081%
3,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,global_hit_rate,Global Hit Rate in unified l1/tex,0.000000%,0.000000%,0.000000%
4,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,local_hit_rate,Local Hit Rate,0.000000%,0.000000%,0.000000%
5,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,flop_count_dp,Floating Point Operations(Double Precision),0,0,0
6,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,flop_count_sp,Floating Point Operations(Single Precision),70516736,141033472,112608300
7,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,inst_executed,Instructions Executed,5177344,10131456,7774519
8,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,inst_issued,Instructions Issued,5185189,10141883,7784136
9,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,sysmem_utilization,System Memory Utilization,Low (1),Low (1),Low (1)
10,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,stall_sync,Issue Stall Reasons (Synchronization),6.469177%,58.197767%,26.371122%
11,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,stall_other,Issue Stall Reasons (Other),15.250239%,24.642832%,19.678054%
12,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,stall_memory_dependency,Issue Stall Reasons (Data Request),4.140340%,12.901358%,9.212194%
13,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,stall_pipe_busy,Issue Stall Reasons (Pipe Busy),0.233376%,1.031063%,0.487386%
14,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,stall_constant_memory_dependency,Issue Stall Reasons (Immediate constant),0.083359%,3.795088%,0.752648%
15,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,inst_fp_32,FP Instructions(Single),49774592,99549184,77353316
16,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,inst_fp_64,FP Instructions(Double),0,0,0
17,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,inst_integer,Integer Instructions,45553664,102719488,68142569
18,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,inst_bit_convert,Bit-Convert Instructions,0,0,0
19,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,inst_control,Control-Flow Instructions,8497152,20840448,13589548
20,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,inst_compute_ld_st,Load/Store Instructions,11827200,30834688,20349551
21,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,inst_misc,Misc Instructions,18874368,37855232,29994206
22,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,inst_inter_thread_communication,Inter-Thread Instructions,0,0,0
23,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",69,cf_issued,Issued Control-Flow Instructions,491520,980992,749211
