,Device,Kernel,Invocations,Metric Name,Metric Description,Min,Max,Avg
0,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,inst_per_warp,Instructions per warp,632.000000,632.000000,632.000000
1,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,branch_efficiency,Branch Efficiency,100.000000%,100.000000%,100.000000%
2,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,warp_execution_efficiency,Warp Execution Efficiency,91.020570%,91.020570%,91.020570%
3,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,global_hit_rate,Global Hit Rate in unified l1/tex,0.000000%,0.000000%,0.000000%
4,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,local_hit_rate,Local Hit Rate,0.000000%,0.000000%,0.000000%
5,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,flop_count_dp,Floating Point Operations(Double Precision),0,0,0
6,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,flop_count_sp,Floating Point Operations(Single Precision),68747264,103120896,80205141
7,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,inst_executed,Instructions Executed,5177344,7766016,6040234
8,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,inst_issued,Instructions Issued,5185271,7776518,6049220
9,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,sysmem_utilization,System Memory Utilization,Low (1),Low (1),Low (1)
10,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,stall_sync,Issue Stall Reasons (Synchronization),6.774376%,8.204432%,7.534327%
11,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,stall_other,Issue Stall Reasons (Other),21.884060%,24.313987%,22.938136%
12,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,stall_memory_dependency,Issue Stall Reasons (Data Request),10.776340%,11.856491%,11.258097%
13,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,stall_pipe_busy,Issue Stall Reasons (Pipe Busy),0.234662%,0.265600%,0.252567%
14,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,stall_constant_memory_dependency,Issue Stall Reasons (Immediate constant),0.104695%,0.331159%,0.192092%
15,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,inst_fp_32,FP Instructions(Single),47988736,71983104,55986858
16,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,inst_fp_64,FP Instructions(Double),0,0,0
17,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,inst_integer,Integer Instructions,50741248,76111872,59198122
18,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,inst_bit_convert,Bit-Convert Instructions,0,0,0
19,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,inst_control,Control-Flow Instructions,9519104,14278656,11105621
20,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,inst_compute_ld_st,Load/Store Instructions,16924672,25387008,19745450
21,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,inst_misc,Misc Instructions,18399232,27598848,21465770
22,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,inst_inter_thread_communication,Inter-Thread Instructions,0,0,0
23,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,cf_issued,Issued Control-Flow Instructions,491520,737280,573440
24,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,cf_executed,Executed Control-Flow Instructions,491520,737280,573440
25,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,ldst_issued,Issued Load/Store Instructions,1810432,2715648,2112170
26,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,ldst_executed,Executed Load/Store Instructions,630784,946176,735914
27,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,flop_count_hp,Floating Point Operations(Half Precision),0,0,0
28,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,inst_fp_16,HP Instructions(Half),0,0,0
29,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,ipc,Executed IPC,0.547034,0.561454,0.553132
30,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,issued_ipc,Issued IPC,0.546465,0.562231,0.554603
31,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,flop_hp_efficiency,FLOP Efficiency(Peak Half),0.000000%,0.000000%,0.000000%
32,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,flop_sp_efficiency,FLOP Efficiency(Peak Single),2.742353%,2.827700%,2.785826%
33,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,flop_dp_efficiency,FLOP Efficiency(Peak Double),0.000000%,0.000000%,0.000000%
34,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,dram_read_transactions,Device Memory Read Transactions,1379400,2077577,1614358
35,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,dram_read_throughput,Device Memory Read Throughput,196.659571GB/s,198.952484GB/s,198.090963GB/s
36,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,dram_write_throughput,Device Memory Write Throughput,60.617882GB/s,61.787560GB/s,61.091703GB/s
37,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",21,dram_utilization,Device Memory Utilization,High (8),High (9),High (8)
38,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,40,inst_per_warp,Instructions per warp,171.000000,171.000000,171.000000
39,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,40,branch_efficiency,Branch Efficiency,100.000000%,100.000000%,100.000000%
40,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,40,warp_execution_efficiency,Warp Execution Efficiency,100.000000%,100.000000%,100.000000%
41,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,40,global_hit_rate,Global Hit Rate in unified l1/tex,0.000000%,0.000000%,0.000000%
