,0
vm_percent,25.8
swap_percent,0.0
cpuloadavg_1min,11.762152777777779
cpuloadavg_5min,15.215386284722223
cpu_0,3640.4519999999998
cpu_1,3623.4193333333333
cpu_psi_total,96635740.66666667
mem_psi_total,217134.0
io_psi_total,928682112.6666666
acc,0.4000000189989805
prune_config,random_unstructured
prune_ratio,0.30000000000000004
model_name,resnet
batchsz_arg,8
num_workers_arg,1
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
