,Device,Kernel,Invocations,Metric Name,Metric Description,Min,Max,Avg
0,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,inst_per_warp,Instructions per warp,1026.000000,1153.000000,1105.545455
1,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,branch_efficiency,Branch Efficiency,100.000000%,100.000000%,100.000000%
2,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,warp_execution_efficiency,Warp Execution Efficiency,91.332394%,97.137901%,95.591821%
3,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,global_hit_rate,Global Hit Rate in unified l1/tex,0.000000%,0.000000%,0.000000%
4,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,local_hit_rate,Local Hit Rate,0.000000%,0.000000%,0.000000%
5,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,flop_count_dp,Floating Point Operations(Double Precision),0,0,0
6,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,flop_count_sp,Floating Point Operations(Single Precision),74653696,367525888,179456000
7,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,inst_executed,Instructions Executed,3414528,18890752,8935272
8,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,inst_issued,Instructions Issued,3418035,18898261,8940386
9,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,sysmem_utilization,System Memory Utilization,Low (1),Low (1),Low (1)
10,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,stall_sync,Issue Stall Reasons (Synchronization),5.250355%,10.452107%,7.991633%
11,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,stall_other,Issue Stall Reasons (Other),9.225436%,24.271190%,15.793368%
12,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,stall_memory_dependency,Issue Stall Reasons (Data Request),6.761879%,22.304863%,14.266855%
13,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,stall_pipe_busy,Issue Stall Reasons (Pipe Busy),0.233785%,1.179382%,0.647536%
14,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,stall_constant_memory_dependency,Issue Stall Reasons (Immediate constant),0.064765%,1.485887%,0.300623%
15,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,inst_fp_32,FP Instructions(Single),56442880,277872640,135680000
16,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,inst_fp_64,FP Instructions(Double),0,0,0
17,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,inst_integer,Integer Instructions,16390400,151977984,62008000
18,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,inst_bit_convert,Bit-Convert Instructions,0,0,0
19,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,inst_control,Control-Flow Instructions,638976,3145728,1600363
20,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,inst_compute_ld_st,Load/Store Instructions,18267392,97009664,46535636
21,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,inst_misc,Misc Instructions,6276608,31670272,15358181
22,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,inst_inter_thread_communication,Inter-Thread Instructions,3407872,16777216,8192000
23,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,cf_issued,Issued Control-Flow Instructions,33280,180224,82909
24,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,cf_executed,Executed Control-Flow Instructions,33280,180224,82909
25,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,ldst_issued,Issued Load/Store Instructions,1344512,7143424,3432727
26,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,ldst_executed,Executed Load/Store Instructions,758784,3751936,1829090
27,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,flop_count_hp,Floating Point Operations(Half Precision),0,0,0
28,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,inst_fp_16,HP Instructions(Half),0,0,0
29,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,ipc,Executed IPC,0.513518,0.847275,0.652760
30,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,issued_ipc,Issued IPC,0.510818,0.892892,0.652752
31,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,flop_hp_efficiency,FLOP Efficiency(Peak Half),0.000000%,0.000000%,0.000000%
32,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,flop_sp_efficiency,FLOP Efficiency(Peak Single),4.114146%,6.067833%,4.976818%
33,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,flop_dp_efficiency,FLOP Efficiency(Peak Double),0.000000%,0.000000%,0.000000%
34,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,dram_read_transactions,Device Memory Read Transactions,311653,2570300,1231871
35,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,dram_read_throughput,Device Memory Read Throughput,86.324457GB/s,144.362004GB/s,120.774962GB/s
36,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,dram_write_throughput,Device Memory Write Throughput,102.791138GB/s,157.921371GB/s,128.689184GB/s
37,Tesla P40 (0),"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",352,dram_utilization,Device Memory Utilization,High (8),High (8),High (8)
38,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,inst_per_warp,Instructions per warp,576.562500,632.000000,621.945833
39,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,branch_efficiency,Branch Efficiency,100.000000%,100.000000%,100.000000%
40,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,warp_execution_efficiency,Warp Execution Efficiency,92.755711%,94.956487%,93.808149%
41,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,global_hit_rate,Global Hit Rate in unified l1/tex,0.000000%,0.000000%,0.000000%
42,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,local_hit_rate,Local Hit Rate,0.000000%,0.000000%,0.000000%
43,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,flop_count_dp,Floating Point Operations(Double Precision),0,0,0
44,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,flop_count_sp,Floating Point Operations(Single Precision),141033472,564133888,365402521
45,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,inst_executed,Instructions Executed,10354688,40525824,26263278
46,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,inst_issued,Instructions Issued,10363191,40540415,26275167
47,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,sysmem_utilization,System Memory Utilization,Low (1),Low (1),Low (1)
48,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,stall_sync,Issue Stall Reasons (Synchronization),7.193461%,17.542702%,12.324167%
49,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,stall_other,Issue Stall Reasons (Other),17.673658%,24.080081%,20.991875%
50,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,stall_memory_dependency,Issue Stall Reasons (Data Request),11.182730%,13.094588%,12.142939%
51,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,stall_pipe_busy,Issue Stall Reasons (Pipe Busy),0.227795%,0.240772%,0.235906%
52,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,stall_constant_memory_dependency,Issue Stall Reasons (Immediate constant),0.022858%,0.138476%,0.068219%
53,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,inst_fp_32,FP Instructions(Single),99549184,398196736,257528081
54,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,inst_fp_64,FP Instructions(Double),0,0,0
55,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,inst_integer,Integer Instructions,105906176,410877952,266761011
56,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,inst_bit_convert,Bit-Convert Instructions,0,0,0
57,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,inst_control,Control-Flow Instructions,20840448,83361792,53435869
58,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,inst_compute_ld_st,Load/Store Instructions,35258368,123338752,81653486
59,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,inst_misc,Misc Instructions,37748736,151420928,98006903
60,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,inst_inter_thread_communication,Inter-Thread Instructions,0,0,0
61,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,cf_issued,Issued Control-Flow Instructions,983040,3923968,2513305
62,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,cf_executed,Executed Control-Flow Instructions,983040,3923968,2513305
63,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,ldst_issued,Issued Load/Store Instructions,3686400,12533760,8349832
64,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,ldst_executed,Executed Load/Store Instructions,1261568,4751360,3102037
65,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,flop_count_hp,Floating Point Operations(Half Precision),0,0,0
66,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,inst_fp_16,HP Instructions(Half),0,0,0
67,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,ipc,Executed IPC,0.534994,0.581699,0.558742
68,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,issued_ipc,Issued IPC,0.536748,0.582628,0.560049
69,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,flop_hp_efficiency,FLOP Efficiency(Peak Half),0.000000%,0.000000%,0.000000%
70,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,flop_sp_efficiency,FLOP Efficiency(Peak Single),2.796743%,3.260863%,2.985399%
71,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,flop_dp_efficiency,FLOP Efficiency(Peak Double),0.000000%,0.000000%,0.000000%
72,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,dram_read_transactions,Device Memory Read Transactions,2749423,9327519,6236180
73,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,dram_read_throughput,Device Memory Read Throughput,180.415925GB/s,198.683496GB/s,184.783147GB/s
74,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,dram_write_throughput,Device Memory Write Throughput,64.220223GB/s,80.483456GB/s,76.647410GB/s
75,Tesla P40 (0),"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",45,dram_utilization,Device Memory Utilization,High (9),High (9),High (9)
76,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,inst_per_warp,Instructions per warp,171.000000,171.000000,171.000000
77,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,branch_efficiency,Branch Efficiency,100.000000%,100.000000%,100.000000%
78,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,warp_execution_efficiency,Warp Execution Efficiency,100.000000%,100.000000%,100.000000%
79,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,global_hit_rate,Global Hit Rate in unified l1/tex,0.000000%,0.000000%,0.000000%
80,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,local_hit_rate,Local Hit Rate,0.000000%,0.000000%,0.000000%
81,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,flop_count_dp,Floating Point Operations(Double Precision),0,0,0
82,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,flop_count_sp,Floating Point Operations(Single Precision),10436608,411041792,130264615
83,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,inst_executed,Instructions Executed,13942656,549126144,174025384
84,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,inst_issued,Instructions Issued,13948673,549169399,174042941
85,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,sysmem_utilization,System Memory Utilization,Low (1),Low (1),Low (1)
86,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,stall_sync,Issue Stall Reasons (Synchronization),0.000000%,0.000000%,0.000000%
87,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,stall_other,Issue Stall Reasons (Other),2.423207%,3.767578%,3.297667%
88,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,stall_memory_dependency,Issue Stall Reasons (Data Request),82.239065%,85.418541%,83.830426%
89,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,stall_pipe_busy,Issue Stall Reasons (Pipe Busy),0.712353%,0.878367%,0.821372%
90,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,104,stall_constant_memory_dependency,Issue Stall Reasons (Immediate constant),0.006982%,0.337294%,0.065984%
